Date,Clicks,Impressions,CTR,Position
2025-09-29,0,0,,
2025-09-30,0,0,,
2025-10-01,1,2,50%,5
2025-10-02,0,1,0%,1
2025-10-03,0,1,0%,79
2025-10-04,0,0,,
2025-10-05,1,2,50%,2.5
2025-10-06,0,2,0%,2.5
2025-10-07,0,0,,
2025-10-08,0,3,0%,5.7
2025-10-09,0,0,,
2025-10-10,0,0,,
2025-10-11,0,0,,
2025-10-12,0,0,,
2025-10-13,0,0,,
2025-10-14,0,1,0%,37
2025-10-15,0,0,,
2025-10-16,0,0,,
2025-10-17,0,0,,
2025-10-18,0,0,,
2025-10-19,0,0,,
2025-10-20,1,1,100%,1
2025-10-21,0,0,,
2025-10-22,0,0,,
2025-10-23,0,1,0%,3
2025-10-24,0,1,0%,2
2025-10-25,0,0,,
2025-10-26,1,1,100%,1
2025-10-27,0,0,,
2025-10-28,0,0,,
2025-10-29,0,0,,
2025-10-30,2,3,66.67%,1.7
2025-10-31,0,2,0%,4.5
2025-11-01,0,1,0%,2
2025-11-02,0,1,0%,2
2025-11-03,0,0,,
2025-11-04,1,2,50%,2.5
2025-11-05,0,4,0%,2.2
2025-11-06,1,1,100%,1
2025-11-07,0,0,,
2025-11-08,0,0,,
2025-11-09,0,1,0%,95
2025-11-10,0,1,0%,8
2025-11-11,0,0,,
2025-11-12,0,1,0%,1
2025-11-13,1,1,100%,1
2025-11-14,0,1,0%,12
2025-11-15,3,3,100%,1.7
2025-11-16,2,2,100%,1
2025-11-17,0,1,0%,1
2025-11-18,1,1,100%,1
2025-11-19,4,9,44.44%,2.9
2025-11-20,0,1,0%,10
2025-11-21,1,1,100%,1
2025-11-22,0,0,,
2025-11-23,1,2,50%,1
2025-11-24,2,2,100%,1
2025-11-25,1,4,25%,1
2025-11-26,0,1,0%,2
2025-11-27,0,0,,
2025-11-28,2,2,100%,1
2025-11-29,1,2,50%,1
2025-11-30,1,7,14.29%,33.3
2025-12-01,0,2,0%,24.5
2025-12-02,2,8,25%,15
2025-12-03,0,2,0%,2
2025-12-04,1,5,20%,4.6
2025-12-05,3,3,100%,1
2025-12-06,1,1,100%,1
2025-12-07,4,6,66.67%,2.5
2025-12-08,2,6,33.33%,15.3
2025-12-09,2,6,33.33%,27
2025-12-10,1,1,100%,2
2025-12-11,1,4,25%,15
2025-12-12,0,5,0%,18.2
2025-12-13,1,1,100%,1
2025-12-14,0,4,0%,41
2025-12-15,1,7,14.29%,40.1
2025-12-16,0,6,0%,44.8
2025-12-17,1,6,16.67%,16.3
2025-12-18,1,2,50%,29
2025-12-19,1,4,25%,13.2
2025-12-20,0,5,0%,40.4
2025-12-21,1,4,25%,35
2025-12-22,0,4,0%,71.2
2025-12-23,1,6,16.67%,25.5
2025-12-24,0,5,0%,35.6
2025-12-25,0,2,0%,25
2025-12-26,1,4,25%,18.5
2025-12-27,0,7,0%,43.6
2025-12-28,0,2,0%,27.5
