Country,Clicks,Impressions,CTR,Position
Philippines,10,10,100%,1.3
United States,8,46,17.39%,23.11
India,4,18,22.22%,12.67
Egypt,4,5,80%,1
Japan,3,5,60%,2.6
Germany,2,9,22.22%,29.22
Canada,2,7,28.57%,12.14
Nepal,2,2,100%,1
Poland,1,8,12.5%,45.25
Hungary,1,5,20%,3.6
United Kingdom,1,5,20%,32.6
Italy,1,4,25%,17
Turkey,1,3,33.33%,1
Indonesia,1,3,33.33%,1.67
Pakistan,1,3,33.33%,5
Hong Kong,1,2,50%,1
Vietnam,1,2,50%,1.5
Uzbekistan,1,2,50%,5.5
Bangladesh,1,2,50%,22
Brazil,1,2,50%,25.5
Algeria,1,1,100%,1
Finland,1,1,100%,1
Oman,1,1,100%,1
Qatar,1,1,100%,1
Slovakia,1,1,100%,1
Taiwan,1,1,100%,3
Netherlands,0,10,0%,55.9
Saudi Arabia,0,3,0%,1
Spain,0,3,0%,54.33
Mexico,0,2,0%,1
Honduras,0,2,0%,2
Norway,0,2,0%,11.5
Lithuania,0,2,0%,17.5
Australia,0,2,0%,32.5
South Korea,0,2,0%,34
Israel,0,2,0%,58
United Arab Emirates,0,1,0%,1
Czechia,0,1,0%,1
France,0,1,0%,1
Portugal,0,1,0%,1
Nigeria,0,1,0%,2
Paraguay,0,1,0%,2
Iran,0,1,0%,5
Russia,0,1,0%,6
Austria,0,1,0%,9
Belgium,0,1,0%,12
Ireland,0,1,0%,41
Luxembourg,0,1,0%,48
