Top pages,Clicks,Impressions,CTR,Position
https://lazytimer.com/,51,122,41.8%,4.78
https://lazytimer.com/study-timer,1,21,4.76%,11.43
http://lazytimer.com/,1,6,16.67%,3.33
https://lazytimer.com/meditation-timer,0,54,0%,43.15
https://lazytimer.com/how-to-use,0,41,0%,5.07
https://lazytimer.com/about,0,27,0%,4.48
https://lazytimer.com/pomodoro-timer,0,19,0%,15.16
https://lazytimer.com/workout-timer,0,16,0%,18.81
https://lazytimer.com/terms-of-service,0,12,0%,7.17
https://lazytimer.com/privacy-policy,0,9,0%,4.89
https://lazytimer.com/5-minute-timer,0,7,0%,11.43
