Country,Clicks,Impressions,CTR,Position
India,2,7,28.57%,18.86
United States,1,88,1.14%,32.41
United Kingdom,1,12,8.33%,56.08
Brazil,1,6,16.67%,14.17
Turkey,1,3,33.33%,7
Italy,1,3,33.33%,32.67
Japan,1,2,50%,4.5
Egypt,1,1,100%,1
South Korea,1,1,100%,1
Syria,1,1,100%,1
Canada,0,18,0%,41.17
Australia,0,5,0%,36.4
Germany,0,5,0%,41.6
Netherlands,0,5,0%,43
Portugal,0,3,0%,4.67
Ecuador,0,3,0%,8.33
Tunisia,0,3,0%,19.67
Sweden,0,3,0%,28.33
Austria,0,3,0%,46.33
Indonesia,0,2,0%,6.5
Spain,0,2,0%,16.5
Iraq,0,2,0%,20
Greece,0,2,0%,25
Hong Kong,0,2,0%,27
Saudi Arabia,0,2,0%,27.5
Cambodia,0,2,0%,37.5
Norway,0,2,0%,56.5
New Zealand,0,2,0%,57.5
Pakistan,0,1,0%,1
South Africa,0,1,0%,5
Croatia,0,1,0%,9
Macau,0,1,0%,20
Ireland,0,1,0%,27
Sri Lanka,0,1,0%,27
Kuwait,0,1,0%,30
Bahrain,0,1,0%,32
Qatar,0,1,0%,36
Poland,0,1,0%,42
Kenya,0,1,0%,83
Romania,0,1,0%,87
