"Date","Clicks","Impressions","Avg. CTR"
"12/27/2025 12:00:00 AM","33","1352","2.44"
"12/28/2025 12:00:00 AM","31","3234","0.96"
"12/29/2025 12:00:00 AM","48","4623","1.04"
"12/30/2025 12:00:00 AM","65","4269","1.52"
"12/31/2025 12:00:00 AM","77","5702","1.35"
"1/1/2026 12:00:00 AM","65","5353","1.21"
"1/2/2026 12:00:00 AM","64","6844","0.94"
"1/3/2026 12:00:00 AM","91","6457","1.41"
"1/4/2026 12:00:00 AM","96","7401","1.3"
"1/5/2026 12:00:00 AM","92","10585","0.87"
"1/6/2026 12:00:00 AM","131","12464","1.05"
"1/7/2026 12:00:00 AM","98","12025","0.81"
"1/8/2026 12:00:00 AM","137","11781","1.16"
"1/9/2026 12:00:00 AM","107","11166","0.96"
"1/10/2026 12:00:00 AM","96","9154","1.05"
